team,player_raw,player_resolved,role,slot,stat_source,season,has_team_bench,minutes,games,primary_position,fpl_position,positions,rating,goals90,assists90,xg90,xa90,shots90,shots_on_target90,key_passes90,pass_pct,dribbles90,tackles90,interceptions90,understat_xg90,understat_shots90,gap_flags,has_gaps
Anindo,Rice,Declan Rice,XI,CM1,blend_cache,,True,2966.0,35,CM,MID,CM,7.294014120020171,0.1363402252461028,0.18283708260781875,0.12150607946670419,0.1878472819000389,1.4584352357843304,0.4832532870082442,1.8230629169866654,86.41287191124559,0.6209124222494081,1.667115256682501,0.8122435994643407,0.12849621596128682,1.453756562934729,,False
Anindo,Cubarsi,Pau Cubarsí,XI,CB2,blend_cache,,True,2664.0,33,CB,DEF,CB,7.006320960698689,0.020269878025968663,0.04565152171739058,0.02780633782081264,0.031600487741516546,0.3571872632091183,0.06510307482922992,0.26832578934315043,92.0238100436681,0.15524104373149217,1.368718789887777,0.8488418656298884,0.029157009198186246,0.3556643700283599,,False
Anindo,Cucurella,Marc Cucurella,XI,LB,blend_cache,,True,2850.0,35,LB,DEF,LB,6.853701298701299,0.08358171589360422,0.08628360248767758,0.07566582703354724,0.09205885082349065,0.6950456891095427,0.25939326196024415,0.9248391589158474,86.6192207792208,0.26464847522123314,1.9160231714378995,0.9520505164657259,0.07377147988269497,0.6932601506401584,,False
Anindo,Upamecano,Dayot Upamecano,XI,CB1,blend_cache,,True,1779.0,22,CB,DEF,CB,7.115665707088882,0.05954270622699269,0.02682592614174638,0.05069891507152745,0.05999343004165494,0.5208253138010623,0.18418794280911294,0.4167907512508792,90.69876214465634,0.2031582917513501,1.8699984592775716,1.238601859581735,0.05821877406189317,0.519414937140873,,False
Anindo,Enzo F,Enzo Fernández,XI,CM2,blend_cache,,True,3033.5,36,CM,MID,CM,7.160581380934673,0.2219916200814531,0.1684168704216007,0.23747352645739372,0.19469857028702875,1.8358748744139333,0.7270660964468095,2.0754207947946623,83.67765340275196,0.7371636335424773,1.5941516511614837,0.4886280754617228,0.24328239110919186,1.8299677760016713,,False
Anindo,Joao Palhinha,João Palhinha,bench,,blend_cache,,True,2198.0,33,CM,MID,CM,6.893126954346466,0.1687304565353346,0.08625390869293309,0.1072891198783491,0.05297906093447686,1.303095684803002,0.3637460913070669,0.5692081674851972,82.30582238899312,0.5004407909700049,2.2639149468417763,1.038148843026892,0.1279534925939634,1.3116081725390294,,False
Anindo,Gonzalo Higuain,Gonzalo Higuaín,XI,ST,peak_season,2015-2016,True,2958.0,35,ST,FWD,ST,7.45,1.1,0.06,0.753,0.081,5.48,2.3,1.536,78.0,0.75,0.0,0.0,0.8218779542267463,5.480093676814988,aerials_estimated_fwd,True
Anindo,Maignan,Mike Maignan,XI,GK,blend_cache,,True,3295.5,37,GK,GK,GK,7.107275637294844,0.0,0.0,0.0,0.002980148806240478,0.0,0.0,0.059372399636914014,78.34063845885228,0.04190114053291603,0.004656035385868933,0.010474490407097968,0.0,0.0,aerials_estimated,True
Anindo,Luis Diaz,Luis Díaz,XI,LW,blend_cache,,True,2430.0,34,LW,MID,LW|RW|LM,7.158994169096211,0.4400421480182507,0.30079427486126975,0.4196331947244862,0.2121930888804235,2.72571078490068,1.126125796725184,2.0499418711873414,83.04558309037901,1.9030275124941767,1.080714294355222,0.39139103520144614,0.4486715834086236,2.918575593502707,,False
Anindo,Stanisic,Josip Stanišić,XI,RB,blend_cache,,True,1855.0,26,LB,DEF,LB|RB,6.888984238178635,0.0840630472854641,0.12959719789842383,0.06388791593695271,0.1935901926444834,0.46584938704028017,0.19614711033274956,1.0718038528896674,87.03546409807356,0.5954465849387041,1.5481611208406303,0.9001751313485113,0.05905116642509166,0.42397628500963125,,False
Anindo,Cole Palmer,Cole Palmer,XI,RW,prime,2023-2024,True,2607.0,33,ST,FWD,CM|ST,7.27,0.76,0.38,0.6245807926829269,0.3001143292682927,3.73,1.59,2.4545454545454546,78.0,0.994,0.4142692750287687,0.6559263521288837,0.6079174436163157,3.6818181818181817,pass_pct_role_default|dribbles_winger_estimate|aerials_estimated_fwd,True
Anindo,Tapsoba,Edmond Tapsoba,bench,,blend_cache,,True,2543.5,29,CB,DEF,CB,6.986380697050938,0.07116164712398784,0.04608347056591239,0.057300586083405984,0.04607383249163673,0.7748741930244206,0.19344926420761202,0.2881570767852165,88.16414632425568,0.31236486089177473,1.3419260879309487,0.8558271993675912,0.07656796517672848,0.7732729641242313,,False
